"Record ID","First Name","Last Name","Email","Phone Number","Contact owner","Primary Associated Company ID","Last Activity Date","Lead Status","Marketing contact status","Create Date","Associated Company"
"239761700851","Brian","Halligan (Sample Contact)","bh@hubspot.com","","","","2026-02-14 17:40","","Marketing contact","2026-02-14 17:40",""
"239798716376","Maria","Johnson (Sample Contact)","emailmaria@hubspot.com","","","","2026-02-14 17:40","","Marketing contact","2026-02-14 17:40",""
"238773180407","Laura","Gonzalez","kristine18@ford.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239763522547","Juan","Pierce","millermartin@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238773180406","Jane","Sanders","clarkshawn@lewis.com","","","186272605135","","","Non-marketing contact","2025-03-14 10:35","Tropical Bird Haven"
"238713864166","Angela","Holland","mmoore@gmail.com","","","","2025-10-30 13:21","","Non-marketing contact","2025-03-14 10:35",""
"238600957940","Tami","Martinez","herrerafrancisco@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160784","Tammy","Thompson","alicia44@lewis.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238773181371","Cathy","Martinez","sstanley@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239264242632","Stephanie","Hall","roy85@gmail.com","","","186276210644","","","Non-marketing contact","2025-03-14 10:35","The Hamster Hut"
"238721070033","Daniel","Luna","dmitchell@morgan.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238708473808","Brooke","Barnes","jackgreen@hawkins-aguilar.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238710278104","Matthew","Foster","cody04@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239264242633","Patrick","Burke","cookaaron@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239264242629","Ronald","Smith","trujillomichelle@adams.biz","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239800635375","Jeffrey","Haney","sarahstephens@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238708473806","Lee","Thompson","josegonzalez@gomez-arnold.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
